Time,Distance,Corr Speed,Math Brake Pres Total,Alias Throttle Pos,Alias Steering Wheel Angle,Alias G Force Lat
s,m,km/h,bar,%,deg,G
0,0,266.06,1,99.8,2.2,0.03
0.04,3,266.04,0.64,99.8,2.12,0.03
0.08,6,266.11,0.223,99.6,2.1,0.03
0.12,9,266.32,0.169,99.6,2.1,0.03
0.16,12,266.38,0.465,99.8,2.1,0.02
0.2,15,266.54,0.665,99.6,2.1,0.01
0.24,18,266.84,1.021,99.8,2.1,0.01
0.28,21,267.22,0.447,99.6,2.1,0
0.32,24,267.3,0.005,99.8,2.1,-0.01
0.36,27,267.2,0.005,99.8,2.1,-0.01
0.4,30,267.65,0.005,99.8,2.1,-0.01
0.44,33,267.92,0.009,99.8,2.18,-0.01
0.48,36,267.96,0.22,99.8,2.2,-0.01
0.52,39,268.08,0.602,99.8,2.2,0
0.56,41,268.38,0.899,99.8,2.16,-0.01
0.6,44,268.76,0.635,99.8,2,-0.01
0.64,47,268.68,0.719,99.8,2.08,0
0.68,50,268.81,0.557,99.6,2.04,0
0.72,53,269.16,0.265,99.4,2.04,0
0.76,56,269.11,0.052,99.8,2.1,0
0.8,59,269.15,0.22,99.6,2.1,0.01
0.84,62,269.54,0.052,99.8,2.1,0.01
0.88,65,270,0.241,99.6,2.1,0.02
0.92,68,269.88,0.395,99.8,2.02,0.02
0.96,71,269.9,0.427,99.6,1.94,0.03
1,74,270.35,0.555,99.2,2.1,0.03
1.04,77,270.17,0.191,99.6,2.1,0.04
1.08,80,270.16,0.148,99.6,2.1,0.04
1.12,83,270.7,0.254,99.8,2.1,0.04
1.16,86,271.04,0.548,99.6,2.1,0.04
1.2,89,270.97,1.28,99.8,2.1,0.04
1.24,92,270.76,0.356,99.6,2.1,0.03
1.28,95,271.38,1.787,99.6,2.04,0.03
1.32,98,271.33,2.635,99.8,2.08,0.03
1.36,101,270.9,1.937,99.6,2.18,0.02
1.4,104,271.16,0.705,99.6,2.1,0.02
1.44,107,271.79,0.185,99.2,2.1,0.02
1.48,110,271.97,0.238,99.8,1.98,0.01
1.52,113,271.75,0.714,99.8,1.98,0
1.56,116,271.91,1.13,99.8,2.1,0
1.6,119,272.03,0.67,100,2.1,0
1.64,122,271.84,0.358,99.8,2.1,-0.01
1.68,125,271.9,0.49,99.8,2.1,-0.01
