Time,Distance,Corr Speed,Alias G Force Lat
s,m,km/h,G
0,0,266.06,0.03
0.04,3,266.04,0.03
0.08,6,266.11,0.03
0.12,9,266.32,0.03
0.16,12,266.38,0.02
0.2,15,266.54,0.01
0.24,18,266.84,0.01
0.28,21,267.22,0
0.32,24,267.3,-0.01
0.36,27,267.2,-0.01
0.4,30,267.65,-0.01
0.44,33,267.92,-0.01
0.48,36,267.96,-0.01
0.52,39,268.08,0
0.56,41,268.38,-0.01
0.6,44,268.76,-0.01
0.64,47,268.68,0
0.68,50,268.81,0
0.72,53,269.16,0
0.76,56,269.11,0
0.8,59,269.15,0.01
0.84,62,269.54,0.01
0.88,65,270,0.02
0.92,68,269.88,0.02
0.96,71,269.9,0.03
1,74,270.35,0.03
1.04,77,270.17,0.04
1.08,80,270.16,0.04
1.12,83,270.7,0.04
1.16,86,271.04,0.04
1.2,89,270.97,0.04
1.24,92,270.76,0.03
1.28,95,271.38,0.03
1.32,98,271.33,0.03
1.36,101,270.9,0.02
1.4,104,271.16,0.02
1.44,107,271.79,0.02
1.48,110,271.97,0.01
1.52,113,271.75,0
1.56,116,271.91,0
1.6,119,272.03,0
1.64,122,271.84,-0.01
1.68,125,271.9,-0.01
1.72,129,272.1,0
1.76,132,272.56,0
1.8,135,272.26,0
1.84,138,272.24,0
1.88,141,272.82,0
1.92,144,272.77,0
1.96,147,272.75,0
2,150,273.02,0
2.04,153,273.34,0
2.08,156,272.93,0
2.12,159,272.94,0
2.16,162,273.73,0.01
2.2,165,273.8,0.01
2.24,168,273.58,0.01
2.28,171,273.83,0.02
2.32,174,274.31,0.02
2.36,177,274.16,0.01
2.4,180,274.1,0.01
2.44,183,274.54,0.01
2.48,186,274.48,0
2.52,189,274.37,0
2.56,192,274.63,0
2.6,195,275.23,0
2.64,198,275.18,-0.01
2.68,201,274.99,-0.01
2.72,204,275.32,-0.02
2.76,207,275.57,-0.02
2.8,211,275.59,-0.02
2.84,214,275.41,-0.02
2.88,217,275.86,-0.01
2.92,220,276.01,-0.01
2.96,223,275.75,-0.01
3,226,275.82,-0.01
3.04,229,276.19,-0.01
3.08,232,276.34,-0.01
3.12,235,276.16,-0.01
3.16,238,276.61,-0.01
3.2,241,276.78,0
3.24,244,276.71,-0.01
3.28,247,276.79,0
3.32,250,277.14,0.01
3.36,253,277.08,0
3.4,257,276.85,0
3.44,260,277.21,0
3.48,263,277.63,0
3.52,266,277.72,-0.02
3.56,269,277.5,-0.02
3.6,272,277.92,-0.02
3.64,275,278.26,-0.01
3.68,278,278.23,0
3.72,281,278.14,0.01
3.76,284,278.54,0.03
3.8,287,278.84,0.04
3.84,290,278.54,0.05
3.88,294,278.69,0.06
3.92,297,279.01,0.05
3.96,300,279.08,0.03
4,303,278.84,0.02
4.04,306,279.35,0.02
4.08,309,279.73,0.01
4.12,312,279.62,0
4.16,315,279.59,0
4.2,318,279.83,0
4.24,321,279.82,0
4.28,325,279.79,0
4.32,328,280.16,0.01
4.36,331,280.31,0.01
4.4,334,280.27,0.01
4.44,337,280.3,0.01
4.48,340,280.74,0.01
4.52,343,280.74,0
4.56,346,280.86,0
4.6,349,281.08,0
4.64,353,281.36,0.01
4.68,356,281.03,0.01
4.72,359,281.34,0.02
4.76,362,281.86,0.02
4.8,365,281.8,0.03
4.84,368,281.71,0.03
4.88,371,281.87,0.04
4.92,374,282.19,0.04
4.96,378,282,0.04
5,381,282.05,0.04
5.04,384,282.24,0.04
5.08,387,282.36,0.03
5.12,390,282.18,0.03
5.16,393,282.55,0.03
5.2,396,282.52,0.02
5.24,399,282.58,0.02
5.28,403,282.5,0.03
5.32,406,282.96,0.03
5.36,409,282.86,0.02
5.4,412,282.95,0.02
5.44,415,283.19,0.02
5.48,418,283.5,0.02
5.52,421,283.26,0.01
5.56,425,283.37,0.02
5.6,428,283.62,0.02
5.64,431,283.63,0.03
5.68,434,283.66,0.04
5.72,437,283.81,0.05
5.76,440,284.28,0.05
5.8,443,284.1,0.05
5.84,447,284.2,0.05
5.88,450,284.26,0.05
5.92,453,284.66,0.04
5.96,456,284.45,0.04
6,459,284.57,0.05
6.04,462,284.72,0.05
6.08,466,285.08,0.06
6.12,469,284.88,0.07
6.16,472,284.98,0.09
6.2,475,285.14,0.11
6.24,478,285.43,0.11
6.28,481,285.26,0.12
6.32,485,285.42,0.13
6.36,488,285.42,0.12
6.4,491,285.53,0.11
6.44,494,285.31,0.1
6.48,497,285.71,0.1
6.52,500,285.9,0.09
6.56,504,286.07,0.09
6.6,507,285.8,0.1
6.64,510,286.03,0.11
6.68,513,286.02,0.12
6.72,516,286.03,0.13
6.76,519,285.92,0.14
6.8,523,286.2,0.14
6.84,526,286.03,0.13
6.88,529,285.88,0.12
6.92,532,285.65,0.11
6.96,535,285.86,0.09
7,538,285.77,0.08
7.04,542,285.71,0.08
7.08,545,285.66,0.07
7.12,548,285.73,0.06
7.16,551,285.36,0.06
7.2,554,285.43,0.05
7.24,557,285.62,0.04
7.28,561,285.58,0.03
7.32,564,285.28,0.02
7.36,567,285.47,0.01
7.4,570,285.31,0.01
7.44,573,284.17,0
7.48,576,282.37,0
7.52,580,279.48,0.01
7.56,583,275.33,0.01
7.6,586,271.01,0.01
7.64,589,266.7,0.02
7.68,592,262.34,0.02
7.72,594,259.01,0.02
7.76,597,255.56,0.01
7.8,600,251.63,0.01
7.84,603,248.92,0.01
7.88,606,245.65,0.01
7.92,608,241.49,0.02
7.96,611,238.62,0.04
8,614,236.75,0.06
8.04,616,232.87,0.08
8.08,619,229.5,0.1
8.12,621,227.05,0.12
8.16,624,224.5,0.13
8.2,626,221.08,0.12
8.24,629,218.21,0.12
8.28,631,215.57,0.11
8.32,633,213.11,0.1
8.36,636,209.94,0.09
8.4,638,207.11,0.07
8.44,640,204.67,0.06
8.48,643,202.22,0.04
8.52,645,199.2,0.03
8.56,647,196.02,0.01
8.6,649,193.19,0
8.64,651,191.08,-0.01
8.68,653,188.68,-0.01
8.72,655,185.29,-0.01
8.76,657,182.17,0
8.8,659,180.01,0.01
8.84,661,177.58,0.02
8.88,663,174.65,0.02
8.92,665,171.97,0.03
8.96,667,169.63,0.02
9,669,166.58,0.02
9.04,671,163.7,0.01
9.08,673,161.16,-0.01
9.12,674,158.65,-0.03
9.16,676,155.95,-0.05
9.2,678,153.43,-0.08
9.24,679,151.14,-0.11
9.28,681,148.44,-0.14
9.32,683,146.09,-0.18
9.36,684,143.84,-0.22
9.4,686,141.5,-0.26
9.44,687,139.25,-0.3
9.48,689,137.03,-0.35
9.52,691,134.75,-0.41
9.56,692,132.49,-0.46
9.6,693,130.78,-0.51
9.64,695,128.59,-0.57
9.68,696,126.77,-0.65
9.72,698,125.1,-0.72
9.76,699,123.31,-0.79
9.8,700,121.15,-0.86
9.84,702,119.24,-0.91
9.88,703,117.92,-0.93
9.92,704,116.64,-0.92
9.96,706,114.58,-0.91
10,707,112.45,-0.9
10.04,708,110.87,-0.89
10.08,709,109.5,-0.9
10.12,711,108.1,-0.92
10.16,712,106.49,-0.95
10.2,713,105.11,-0.99
10.24,714,103.69,-1.03
10.28,715,102.47,-1.08
10.32,716,101.33,-1.13
10.36,717,100.07,-1.19
10.4,719,98.78,-1.26
10.44,720,98.11,-1.31
10.48,721,97.38,-1.35
10.52,722,96.66,-1.39
10.56,723,95.86,-1.42
10.6,724,95.15,-1.44
10.64,725,94.38,-1.45
10.68,726,93.66,-1.46
10.72,727,92.94,-1.48
10.76,728,92.53,-1.49
10.8,729,92.18,-1.48
10.84,730,91.62,-1.48
10.88,731,90.91,-1.48
10.92,732,90.34,-1.48
10.96,733,89.95,-1.48
11,734,89.54,-1.48
11.04,735,88.82,-1.49
11.08,736,88.02,-1.5
11.12,737,87.6,-1.5
11.16,738,87.36,-1.48
11.2,739,86.83,-1.49
11.24,740,86.03,-1.51
11.28,741,85.69,-1.5
11.32,742,85.58,-1.49
11.36,743,84.96,-1.5
11.4,744,84.05,-1.51
11.44,745,83.53,-1.5
11.48,746,83.45,-1.49
11.52,746,83.03,-1.49
11.56,747,82.45,-1.5
11.6,748,82.12,-1.5
11.64,749,82.02,-1.49
11.68,750,81.65,-1.47
11.72,751,81.02,-1.45
11.76,752,80.5,-1.45
11.8,753,80.36,-1.45
11.84,754,80.29,-1.43
11.88,755,80.15,-1.43
11.92,755,79.76,-1.44
11.96,756,79.37,-1.45
12,757,79.51,-1.46
12.04,758,80.06,-1.47
12.08,759,80.46,-1.48
12.12,760,80.45,-1.49
12.16,761,80.32,-1.49
12.2,762,80.4,-1.49
12.24,763,80.78,-1.48
12.28,763,81.32,-1.46
12.32,764,81.86,-1.46
12.36,765,82.2,-1.47
12.4,766,82.57,-1.47
12.44,767,83.17,-1.46
12.48,768,83.92,-1.46
12.52,769,84.54,-1.47
12.56,770,85,-1.49
12.6,771,85.62,-1.49
12.64,772,86.41,-1.51
12.68,773,87.26,-1.54
12.72,774,87.97,-1.55
12.76,775,88.55,-1.56
12.8,776,89.08,-1.57
12.84,777,89.59,-1.57
12.88,778,90.28,-1.55
12.92,779,91.02,-1.53
12.96,780,91.85,-1.5
13,781,92.6,-1.46
13.04,782,93.49,-1.43
13.08,783,94.42,-1.39
13.12,784,95.5,-1.35
13.16,785,96.41,-1.31
13.2,786,97.27,-1.28
13.24,787,98.08,-1.27
13.28,788,99.31,-1.24
13.32,789,100.69,-1.22
13.36,790,101.81,-1.22
13.4,792,103.09,-1.22
13.44,793,104.39,-1.22
13.48,794,105.58,-1.22
13.52,795,106.28,-1.24
13.56,796,107.23,-1.25
13.6,798,108.38,-1.24
13.64,799,109.82,-1.22
13.68,800,110.92,-1.19
13.72,801,111.59,-1.16
13.76,802,112.54,-1.13
13.8,804,113.62,-1.11
13.84,805,115.08,-1.1
13.88,806,116.63,-1.09
13.92,808,117.97,-1.08
13.96,809,119.36,-1.06
14,810,120.28,-1.04
14.04,812,121.36,-0.99
14.08,813,122.69,-0.94
14.12,814,123.88,-0.88
14.16,816,124.96,-0.83
14.2,817,126.52,-0.78
14.24,818,127.96,-0.75
14.28,820,129.38,-0.74
14.32,821,130.74,-0.74
14.36,823,131.54,-0.73
14.4,824,132.56,-0.71
14.44,826,133.26,-0.68
14.48,827,133.86,-0.64
14.52,829,134.33,-0.59
14.56,830,134.78,-0.55
14.6,832,135.34,-0.5
14.64,833,136.06,-0.47
14.68,835,136.84,-0.45
14.72,836,137.38,-0.44
14.76,838,138.2,-0.43
14.8,839,139.48,-0.44
14.84,841,140.81,-0.46
14.88,842,141.71,-0.49
14.92,844,142.26,-0.52
14.96,846,143.05,-0.55
15,847,143.82,-0.58
15.04,849,144.46,-0.6
15.08,850,145.24,-0.62
15.12,852,146.27,-0.64
15.16,854,147.36,-0.66
15.2,855,148.15,-0.67
15.24,857,148.93,-0.68
15.28,859,149.89,-0.68
15.32,860,150.85,-0.67
15.36,862,151.74,-0.67
15.4,864,152.58,-0.69
15.44,865,153.53,-0.7
15.48,867,154.48,-0.72
15.52,869,155.36,-0.75
15.56,871,156.16,-0.77
15.6,872,156.94,-0.78
15.64,874,157.92,-0.8
15.68,876,158.94,-0.82
15.72,878,159.74,-0.82
15.76,879,160.36,-0.83
15.8,881,161.09,-0.82
15.84,883,161.92,-0.8
15.88,885,162.76,-0.79
15.92,887,163.61,-0.78
15.96,888,164.51,-0.77
16,890,165.22,-0.76
16.04,892,165.8,-0.77
16.08,894,166.66,-0.77
16.12,896,167.56,-0.77
16.16,898,168.32,-0.78
16.2,899,169.07,-0.79
16.24,901,169.91,-0.8
16.28,903,170.64,-0.81
16.32,905,171.35,-0.81
16.36,907,172.08,-0.82
16.4,909,172.81,-0.83
16.44,911,173.32,-0.84
16.48,913,173.8,-0.86
16.52,915,174.31,-0.87
16.56,917,174.8,-0.87
16.6,919,175.39,-0.86
16.64,921,176.1,-0.84
16.68,923,176.93,-0.82
16.72,925,177.74,-0.82
16.76,926,178.39,-0.82
16.8,928,179.05,-0.83
16.84,930,179.71,-0.84
16.88,932,180.25,-0.84
16.92,934,180.77,-0.83
16.96,936,181.5,-0.82
17,938,182.3,-0.8
17.04,941,182.82,-0.8
17.08,943,183.4,-0.81
17.12,945,184.09,-0.83
17.16,947,184.96,-0.85
17.2,949,185.62,-0.87
17.24,951,185.95,-0.89
17.28,953,186.42,-0.9
17.32,955,187.08,-0.9
17.36,957,187.76,-0.9
17.4,959,188.35,-0.91
17.44,961,189.08,-0.93
17.48,963,189.9,-0.94
17.52,965,190.39,-0.95
17.56,967,190.88,-0.96
17.6,970,191.5,-0.96
17.64,972,192.19,-0.95
17.68,974,192.74,-0.93
17.72,976,193.19,-0.91
17.76,978,193.64,-0.88
17.8,980,194.11,-0.84
17.84,982,194.62,-0.8
17.88,985,195.23,-0.76
17.92,987,196,-0.74
17.96,989,196.78,-0.71
18,991,197.34,-0.69
18.04,993,197.82,-0.66
18.08,996,198.3,-0.63
18.12,998,198.86,-0.6
18.16,1000,199.37,-0.56
18.2,1002,200.02,-0.52
18.24,1004,200.66,-0.48
18.28,1007,201.2,-0.45
18.32,1009,201.52,-0.41
18.36,1011,201.97,-0.38
18.4,1013,202.62,-0.36
18.44,1016,203.28,-0.35
18.48,1018,203.74,-0.34
18.52,1020,204.17,-0.34
18.56,1022,204.73,-0.34
18.6,1025,205.07,-0.33
18.64,1027,205.15,-0.31
18.68,1029,205.48,-0.29
18.72,1032,206,-0.27
18.76,1034,206.48,-0.25
18.8,1036,206.98,-0.23
18.84,1038,207.5,-0.22
18.88,1041,208.02,-0.2
18.92,1043,208.37,-0.19
18.96,1045,208.8,-0.18
19,1048,209.33,-0.16
19.04,1050,209.75,-0.15
19.08,1052,210.18,-0.13
19.12,1055,210.65,-0.11
19.16,1057,211.14,-0.09
19.2,1059,211.44,-0.06
19.24,1062,211.86,-0.04
19.28,1064,212.48,-0.02
19.32,1066,213.01,0
19.36,1069,213.32,0.01
19.4,1071,213.72,0.01
19.44,1074,214.22,0.01
19.48,1076,214.64,0.01
19.52,1078,214.9,0.01
19.56,1081,215.41,0.01
19.6,1083,216.12,0.02
19.64,1085,216.62,0.03
19.68,1088,216.72,0.04
19.72,1090,217.03,0.05
19.76,1093,217.68,0.07
19.8,1095,218.1,0.09
19.84,1098,218.32,0.11
19.88,1100,218.86,0.14
19.92,1102,219.4,0.16
19.96,1105,219.71,0.18
20,1107,219.94,0.19
20.04,1110,220.43,0.21
20.08,1112,220.87,0.21
20.12,1115,221.23,0.21
20.16,1117,221.56,0.22
20.2,1120,222.02,0.23
20.24,1122,222.5,0.24
20.28,1124,222.84,0.24
20.32,1127,223.03,0.25
20.36,1129,223.4,0.25
20.4,1132,224.02,0.26
20.44,1134,224.4,0.27
20.48,1137,224.53,0.28
20.52,1139,224.82,0.31
20.56,1142,225.48,0.33
20.6,1144,225.77,0.34
20.64,1147,225.79,0.34
20.68,1149,226.09,0.34
20.72,1152,226.81,0.33
20.76,1154,227.26,0.32
20.8,1157,227.36,0.32
20.84,1159,227.42,0.32
20.88,1162,227.72,0.33
20.92,1165,228.05,0.35
20.96,1167,228.32,0.36
21,1170,228.5,0.36
21.04,1172,228.91,0.36
21.08,1175,229.12,0.34
21.12,1177,229.02,0.31
21.16,1180,229.13,0.27
21.2,1182,229.52,0.21
21.24,1185,229.9,0.16
21.28,1187,229.88,0.11
21.32,1190,229.87,0.08
21.36,1192,229.91,0.06
21.4,1195,229.38,0.05
21.44,1198,228.2,0.06
21.48,1200,226.34,0.07
21.52,1203,223.99,0.08
21.56,1205,220.61,0.09
21.6,1207,217.8,0.09
21.64,1210,214.61,0.09
21.68,1212,211.56,0.09
21.72,1215,209.17,0.09
21.76,1217,206.53,0.11
21.8,1219,202.55,0.14
21.84,1221,199.99,0.19
21.88,1224,198.71,0.27
21.92,1226,197.16,0.37
21.96,1228,194.41,0.49
22,1230,192.14,0.63
22.04,1232,190.51,0.78
22.08,1234,189.14,0.93
22.12,1236,187.04,1.06
22.16,1238,184.73,1.15
22.2,1240,182.72,1.21
22.24,1242,181.37,1.24
22.28,1244,180.14,1.26
22.32,1246,178.54,1.27
22.36,1248,176.75,1.31
22.4,1250,175.97,1.35
22.44,1252,176.16,1.39
22.48,1254,175.94,1.44
22.52,1256,175.04,1.49
22.56,1258,174.22,1.53
22.6,1260,173.58,1.56
22.64,1262,173.1,1.6
22.68,1264,172.64,1.65
22.72,1266,172.44,1.69
22.76,1268,172.15,1.73
22.8,1270,171.46,1.78
22.84,1272,170.81,1.84
22.88,1273,170.4,1.88
22.92,1275,169.93,1.93
22.96,1277,169.33,1.97
23,1279,168.91,2
23.04,1281,168.34,2.02
23.08,1283,167.5,2.05
23.12,1285,166.93,2.07
23.16,1286,166.85,2.07
23.2,1288,166.68,2.06
23.24,1290,166.12,2.06
23.28,1292,165.82,2.07
23.32,1294,165.98,2.04
23.36,1296,165.95,1.98
23.4,1298,165.65,1.96
23.44,1299,165.66,1.98
23.48,1301,166.27,1.97
23.52,1303,167.22,1.95
23.56,1305,167.33,1.95
23.6,1307,166.64,1.96
23.64,1309,166.55,1.92
23.68,1310,167.23,1.87
23.72,1312,167.8,1.83
23.76,1314,167.76,1.81
23.8,1316,168.18,1.81
23.84,1318,169.14,1.83
23.88,1320,169.78,1.87
23.92,1322,169.91,1.91
23.96,1324,170.17,1.95
24,1325,170.64,1.96
24.04,1327,170.84,1.94
24.08,1329,171.04,1.91
24.12,1331,171.6,1.86
24.16,1333,172.32,1.81
24.2,1335,172.52,1.76
24.24,1337,172.68,1.74
24.28,1339,173.38,1.73
24.32,1341,174.44,1.72
24.36,1343,175.3,1.73
24.4,1345,175.68,1.73
24.44,1347,175.97,1.74
24.48,1349,176.34,1.74
24.52,1351,176.75,1.74
24.56,1352,177.12,1.74
24.6,1354,177.76,1.74
24.64,1356,178.45,1.71
24.68,1358,178.91,1.66
24.72,1360,179.18,1.6
24.76,1362,179.75,1.54
24.8,1364,180.56,1.49
24.84,1366,181.27,1.46
24.88,1368,181.66,1.44
24.92,1370,182.09,1.44
24.96,1372,182.82,1.42
25,1374,183.68,1.4
25.04,1377,184.25,1.36
25.08,1379,184.67,1.32
25.12,1381,185.36,1.27
25.16,1383,186.1,1.23
25.2,1385,186.67,1.18
25.24,1387,187.19,1.14
25.28,1389,187.73,1.1
25.32,1391,188.18,1.07
25.36,1393,188.7,1.03
25.4,1395,189.23,0.98
25.44,1397,189.53,0.92
25.48,1399,189.71,0.86
25.52,1402,190.28,0.78
25.56,1404,191.08,0.69
25.6,1406,191.76,0.58
25.64,1408,192.44,0.44
25.68,1410,193.25,0.28
25.72,1412,193.9,0.11
25.76,1414,194.36,-0.07
25.8,1416,195.12,-0.27
25.84,1419,196.12,-0.45
25.88,1421,196.9,-0.64
25.92,1423,197.28,-0.81
25.96,1425,197.58,-0.96
26,1427,198.22,-1.09
26.04,1430,198.83,-1.19
26.08,1432,199.28,-1.27
26.12,1434,199.64,-1.33
26.16,1436,200.21,-1.39
26.2,1438,200.86,-1.44
26.24,1441,201.18,-1.49
26.28,1443,201.19,-1.53
26.32,1445,201.58,-1.55
26.36,1447,201.97,-1.56
26.4,1450,202.4,-1.57
26.44,1452,203.15,-1.57
26.48,1454,203.82,-1.58
26.52,1456,204.01,-1.6
26.56,1459,204.49,-1.65
26.6,1461,205.26,-1.7
26.64,1463,205.7,-1.74
26.68,1466,205.86,-1.78
26.72,1468,206.11,-1.81
26.76,1470,206.62,-1.82
26.8,1472,207.06,-1.82
26.84,1475,207.46,-1.84
26.88,1477,208.04,-1.88
26.92,1479,208.7,-1.93
26.96,1482,209.26,-2
27,1484,209.4,-2.06
27.04,1486,209.39,-2.1
27.08,1489,209.51,-2.12
27.12,1491,210.1,-2.12
27.16,1493,210.61,-2.11
27.2,1496,211.36,-2.12
27.24,1498,211.91,-2.12
27.28,1500,211.93,-2.11
27.32,1503,211.81,-2.1
27.36,1505,212.42,-2.09
27.4,1507,213.25,-2.08
27.44,1510,213.68,-2.07
27.48,1512,213.84,-2.07
27.52,1515,214.18,-2.07
27.56,1517,214.78,-2.07
27.6,1519,215.27,-2.08
27.64,1522,215.48,-2.1
27.68,1524,215.95,-2.13
27.72,1526,216.41,-2.16
27.76,1529,216.55,-2.2
27.8,1531,216.86,-2.25
27.84,1534,217.2,-2.29
27.88,1536,217.12,-2.32
27.92,1538,216.77,-2.36
27.96,1541,216.56,-2.39
28,1543,216.44,-2.4
28.04,1546,216.23,-2.41
28.08,1548,216.12,-2.41
28.12,1550,216.02,-2.42
28.16,1553,215.6,-2.43
28.2,1555,215.27,-2.46
28.24,1558,215.08,-2.51
28.28,1560,214.58,-2.56
28.32,1562,213.56,-2.61
28.36,1565,212.65,-2.67
28.4,1567,212.08,-2.71
28.44,1569,211.6,-2.71
28.48,1572,210.67,-2.71
28.52,1574,209.92,-2.7
28.56,1576,209.78,-2.67
28.6,1579,209.56,-2.62
28.64,1581,208.92,-2.6
28.68,1583,208.44,-2.58
28.72,1586,208.4,-2.57
28.76,1588,208.39,-2.59
28.8,1590,207.89,-2.62
28.84,1593,207.14,-2.66
28.88,1595,206.68,-2.68
28.92,1597,206.03,-2.67
28.96,1600,205.19,-2.65
29,1602,204.56,-2.63
29.04,1604,204.28,-2.59
29.08,1606,203.96,-2.54
29.12,1609,203.44,-2.52
29.16,1611,203.09,-2.5
29.2,1613,202.84,-2.49
29.24,1615,202.44,-2.51
29.28,1618,202,-2.55
29.32,1620,201.54,-2.6
29.36,1622,200.84,-2.64
29.4,1624,200.09,-2.68
29.44,1626,199.42,-2.69
29.48,1629,198.66,-2.68
29.52,1631,198.4,-2.66
29.56,1633,198.35,-2.63
29.6,1635,198,-2.61
29.64,1637,197.45,-2.61
29.68,1640,197.11,-2.6
29.72,1642,196.94,-2.59
29.76,1644,196.54,-2.59
29.8,1646,196.18,-2.57
29.84,1648,196.19,-2.54
29.88,1651,196.03,-2.52
29.92,1653,195.54,-2.5
29.96,1655,195.16,-2.48
30,1657,194.87,-2.46
30.04,1659,194.46,-2.45
30.08,1661,194.04,-2.44
30.12,1664,193.9,-2.42
30.16,1666,193.76,-2.4
30.2,1668,193.44,-2.38
30.24,1670,193.12,-2.37
30.28,1672,193.3,-2.36
30.32,1674,193.6,-2.35
30.36,1676,193.61,-2.36
30.4,1679,193.67,-2.37
30.44,1681,193.6,-2.38
30.48,1683,193.48,-2.37
30.52,1685,193.45,-2.37
30.56,1687,193.75,-2.35
30.6,1689,194.04,-2.34
30.64,1691,194.21,-2.32
30.68,1694,194.14,-2.31
30.72,1696,194.28,-2.32
30.76,1698,194.9,-2.32
30.8,1700,195.55,-2.33
30.84,1702,195.84,-2.33
30.88,1704,195.84,-2.35
30.92,1707,196.02,-2.36
30.96,1709,196.4,-2.36
31,1711,196.76,-2.37
31.04,1713,197.05,-2.39
31.08,1715,197.4,-2.41
31.12,1718,197.74,-2.42
31.16,1720,197.87,-2.43
31.2,1722,198.08,-2.44
31.24,1724,198.56,-2.44
31.28,1726,198.89,-2.43
31.32,1729,199.03,-2.44
31.36,1731,199.34,-2.46
31.4,1733,199.81,-2.47
31.44,1735,200.06,-2.49
31.48,1737,200.06,-2.51
31.52,1740,200.27,-2.52
31.56,1742,200.59,-2.52
31.6,1744,200.81,-2.5
31.64,1746,200.88,-2.48
31.68,1749,201.07,-2.45
31.72,1751,201.5,-2.43
31.76,1753,201.73,-2.41
31.8,1755,201.65,-2.41
31.84,1757,201.76,-2.42
31.88,1760,202.36,-2.43
31.92,1762,202.92,-2.42
31.96,1764,202.85,-2.43
32,1766,202.72,-2.46
32.04,1769,203.18,-2.47
32.08,1771,203.65,-2.48
32.12,1773,203.6,-2.5
32.16,1775,203.23,-2.51
32.2,1778,203.38,-2.5
32.24,1780,203.95,-2.48
32.28,1782,204.3,-2.47
32.32,1785,204.43,-2.47
32.36,1787,204.56,-2.47
32.4,1789,204.66,-2.46
32.44,1791,204.65,-2.45
32.48,1794,204.76,-2.43
32.52,1796,204.97,-2.39
32.56,1798,205.14,-2.34
32.6,1800,205.31,-2.29
32.64,1803,205.46,-2.24
32.68,1805,205.69,-2.21
32.72,1807,205.99,-2.18
32.76,1810,206.26,-2.16
32.8,1812,206.5,-2.16
32.84,1814,206.72,-2.15
32.88,1816,206.92,-2.14
32.92,1819,206.95,-2.14
32.96,1821,207.06,-2.13
33,1823,207.44,-2.12
33.04,1826,207.6,-2.1
33.08,1828,207.56,-2.09
33.12,1830,207.67,-2.08
33.16,1833,208,-2.06
33.2,1835,208.56,-2.05
33.24,1837,209.03,-2.06
33.28,1839,209.28,-2.08
33.32,1842,209.28,-2.11
33.36,1844,209.42,-2.13
33.4,1846,209.51,-2.13
33.44,1849,209.74,-2.13
33.48,1851,209.89,-2.11
33.52,1853,210.11,-2.08
33.56,1856,210.2,-2.04
33.6,1858,210.37,-2.01
33.64,1860,210.56,-1.96
33.68,1863,210.42,-1.91
33.72,1865,209.57,-1.85
33.76,1867,208.42,-1.78
33.8,1870,206.8,-1.69
33.84,1872,204.5,-1.56
33.88,1874,201.89,-1.42
33.92,1876,198.67,-1.24
33.96,1879,195.12,-1.03
34,1881,192.61,-0.81
34.04,1883,190.87,-0.59
34.08,1885,188.69,-0.38
34.12,1887,186.35,-0.19
34.16,1889,183.74,-0.03
34.2,1891,181.12,0.09
34.24,1893,178.3,0.18
34.28,1895,175.57,0.25
34.32,1897,172.72,0.3
34.36,1899,170.51,0.34
34.4,1901,168.48,0.38
34.44,1903,165.94,0.4
34.48,1904,163.4,0.41
34.52,1906,161.08,0.43
34.56,1908,158.06,0.45
34.6,1910,155.58,0.47
34.64,1911,153.84,0.52
34.68,1913,152.05,0.57
