Time,Distance,Corr Speed,Math G Force Lat Filtered
s,m,km/h,G
,,,
,,,
0,0,184.16,0.088
0.05,3,184.92,0.077
0.1,5,185.88,0.066
0.15,8,186.55,0.056
0.2,11,187.28,0.046
0.25,13,188.23,0.037
0.3,16,188.87,0.03
0.35,18,189.56,0.024
0.4,21,190.43,0.02
0.45,24,191.17,0.017
0.5,27,191.99,0.016
0.55,29,192.75,0.016
0.6,32,193.39,0.019
0.65,35,194.2,0.023
0.7,38,195.16,0.029
0.75,40,196.04,0.035
0.8,43,196.68,0.042
0.85,46,197.22,0.047
0.9,49,198,0.051
0.95,51,198.73,0.052
1,54,199.45,0.05
1.05,57,200.36,0.046
1.1,60,201.08,0.04
1.15,63,201.68,0.032
1.2,66,202.07,0.024
1.25,68,202.47,0.015
1.3,71,202.98,0.008
1.35,74,203.56,0.001
1.4,77,204.26,-0.005
1.45,80,204.94,-0.01
1.5,83,205.58,-0.014
1.55,86,206.24,-0.018
1.6,89,206.88,-0.022
1.65,92,207.37,-0.027
1.7,95,207.9,-0.033
1.75,97,208.53,-0.038
1.8,100,209.15,-0.043
1.85,103,209.8,-0.046
1.9,106,210.48,-0.047
1.95,109,211.1,-0.046
2,112,211.63,-0.043
2.05,115,212.25,-0.038
2.1,118,212.88,-0.032
2.15,121,213.44,-0.025
2.2,124,214.07,-0.018
2.25,127,214.64,-0.011
2.3,130,215.17,-0.005
2.35,133,215.77,0
2.4,136,216.43,0.005
2.45,140,216.97,0.009
2.5,143,217.44,0.011
2.55,146,218.05,0.013
2.6,149,218.69,0.013
2.65,152,219.23,0.014
2.7,155,219.77,0.014
2.75,158,220.32,0.014
2.8,161,220.9,0.014
2.85,164,221.44,0.015
2.9,167,221.9,0.016
2.95,171,222.43,0.017
3,174,223.01,0.019
3.05,177,223.67,0.02
3.1,180,224.15,0.022
3.15,183,224.58,0.025
3.2,186,225.16,0.028
3.25,190,225.68,0.031
3.3,193,226.24,0.033
3.35,196,226.79,0.035
3.4,199,227.17,0.036
3.45,202,227.68,0.035
3.5,206,228.3,0.033
3.55,209,228.73,0.028
3.6,212,229.24,0.023
3.65,215,229.64,0.015
3.7,219,230.16,0.007
3.75,222,230.75,-0.002
3.8,225,231.23,-0.011
3.85,228,231.67,-0.022
3.9,232,232.01,-0.034
3.95,235,232.5,-0.046
4,238,233.06,-0.059
4.05,241,233.59,-0.071
4.1,245,234.06,-0.084
4.15,248,234.49,-0.096
4.2,251,234.94,-0.108
4.25,255,235.37,-0.12
4.3,258,235.81,-0.131
4.35,261,236.22,-0.141
4.4,265,236.63,-0.15
4.45,268,237.18,-0.158
4.5,271,237.64,-0.165
4.55,275,237.92,-0.171
4.6,278,238.45,-0.176
4.65,281,238.97,-0.182
4.7,285,239.28,-0.191
4.75,288,239.66,-0.201
4.8,292,240.02,-0.215
4.85,295,240.47,-0.23
4.9,298,241.08,-0.247
4.95,302,241.52,-0.264
5,305,241.72,-0.281
5.05,309,242.08,-0.296
5.1,312,242.53,-0.309
5.15,315,242.92,-0.32
5.2,319,243.48,-0.327
5.25,322,243.95,-0.331
5.3,326,244.1,-0.332
5.35,329,244.28,-0.33
5.4,333,244.54,-0.327
5.45,336,244.85,-0.323
5.5,340,245.34,-0.321
5.55,343,245.73,-0.321
5.6,347,246.02,-0.325
5.65,350,246.49,-0.333
5.7,353,246.76,-0.347
5.75,357,246.92,-0.366
5.8,360,247.32,-0.39
5.85,364,247.7,-0.418
5.9,367,248.09,-0.448
5.95,371,248.62,-0.479
6,374,248.98,-0.51
6.05,378,249,-0.539
6.1,381,249.35,-0.566
6.15,385,249.85,-0.589
6.2,389,250.16,-0.608
6.25,392,250.52,-0.622
6.3,396,250.82,-0.632
6.35,399,251.12,-0.639
6.4,403,251.56,-0.643
6.45,406,251.95,-0.644
6.5,410,252.26,-0.644
6.55,413,252.56,-0.64
6.6,417,252.65,-0.634
6.65,421,253.14,-0.623
6.7,424,253.62,-0.609
6.75,428,253.61,-0.592
6.8,431,253.96,-0.572
6.85,435,254.25,-0.551
6.9,438,254.5,-0.53
6.95,442,254.95,-0.51
7,446,255.22,-0.491
7.05,449,255.61,-0.475
7.1,453,255.97,-0.46
7.15,456,256.18,-0.447
7.2,460,256.49,-0.438
7.25,464,256.68,-0.432
7.3,467,256.91,-0.431
7.35,471,257.34,-0.435
7.4,475,257.77,-0.444
7.45,478,258.01,-0.458
7.5,482,258.3,-0.478
7.55,486,258.65,-0.502
7.6,489,258.83,-0.53
7.65,493,259.07,-0.562
7.7,496,259.55,-0.596
7.75,500,259.75,-0.631
7.8,504,259.68,-0.668
7.85,507,260.06,-0.706
7.9,511,260.48,-0.744
7.95,515,260.78,-0.782
8,519,261.2,-0.82
8.05,522,261.28,-0.857
8.1,526,261.2,-0.895
8.15,530,261.59,-0.934
8.2,533,261.78,-0.975
8.25,537,261.9,-1.021
8.3,541,262.37,-1.072
8.35,544,262.55,-1.129
8.4,548,262.73,-1.191
8.45,552,263.04,-1.257
8.5,556,263.16,-1.327
8.55,559,263.48,-1.397
8.6,563,263.75,-1.468
8.65,567,263.62,-1.539
8.7,570,263.78,-1.61
8.75,574,264.08,-1.681
8.8,578,264.34,-1.752
8.85,582,264.63,-1.823
8.9,585,264.72,-1.893
8.95,589,264.86,-1.961
9,593,264.96,-2.026
9.05,597,264.86,-2.086
9.1,600,264.91,-2.141
9.15,604,265.15,-2.192
9.2,608,265.2,-2.239
9.25,612,265.37,-2.282
9.3,615,265.45,-2.322
9.35,619,265.24,-2.359
9.4,623,265.63,-2.392
9.45,626,266.04,-2.42
9.5,630,265.97,-2.442
9.55,634,265.76,-2.456
9.6,638,265.37,-2.462
9.65,641,265.12,-2.459
9.7,645,265.37,-2.45
9.75,649,265.64,-2.437
9.8,653,265.79,-2.423
9.85,656,265.7,-2.409
9.9,660,265.43,-2.395
9.95,664,265.7,-2.382
10,668,266.05,-2.37
10.05,671,265.45,-2.357
10.1,675,265.36,-2.341
10.15,679,265.69,-2.322
10.2,683,265.5,-2.297
10.25,686,265.46,-2.264
10.3,690,264.71,-2.221
10.35,694,263.98,-2.165
10.4,698,263.17,-2.095
10.45,701,261.23,-2.009
10.5,705,258.53,-1.908
10.55,709,256.39,-1.791
10.6,712,254.82,-1.66
10.65,716,251.56,-1.518
10.7,719,246.95,-1.368
10.75,723,242.9,-1.21
10.8,726,238.64,-1.05
10.85,729,234.99,-0.894
10.9,733,232.46,-0.745
10.95,736,227.59,-0.61
11,739,222.66,-0.488
11.05,742,220.16,-0.385
11.1,745,216.9,-0.297
11.15,748,212.81,-0.227
11.2,751,209.27,-0.172
11.25,754,205.11,-0.13
11.3,757,200.93,-0.098
11.35,760,197.62,-0.072
11.4,763,193.92,-0.052
11.45,765,190.01,-0.033
11.5,768,186.37,-0.015
11.55,771,182.5,0.006
11.6,773,179.06,0.03
11.65,776,176.11,0.06
11.7,778,172.45,0.097
11.75,780,168.58,0.141
11.8,783,165.86,0.191
11.85,785,163.19,0.249
11.9,787,160.26,0.312
11.95,790,157.91,0.38
12,792,155.38,0.449
12.05,794,152.34,0.519
12.1,796,149.32,0.588
12.15,798,146.11,0.656
12.2,800,143.02,0.722
12.25,802,140.65,0.786
12.3,804,138.41,0.85
12.35,806,136.25,0.914
12.4,808,134.5,0.976
12.45,810,132.71,1.037
12.5,812,130.49,1.096
12.55,814,128.73,1.153
12.6,815,127.44,1.207
12.65,817,125.75,1.257
12.7,819,124.16,1.303
12.75,821,123.1,1.346
12.8,822,121.78,1.384
12.85,824,120.22,1.42
12.9,826,119.06,1.454
12.95,827,117.92,1.487
13,829,116.83,1.522
13.05,831,116.29,1.56
13.1,832,115.78,1.599
13.15,834,115.31,1.639
13.2,836,115.18,1.678
13.25,837,114.83,1.712
13.3,839,114.25,1.74
13.35,841,113.69,1.757
13.4,842,112.66,1.763
13.45,844,111.59,1.758
13.5,845,111.38,1.743
13.55,847,111.04,1.721
13.6,848,111.06,1.695
13.65,850,111.35,1.666
13.7,852,110.54,1.639
13.75,853,109.67,1.614
13.8,855,109.22,1.594
13.85,856,108.9,1.579
13.9,858,108.97,1.568
13.95,859,109.06,1.563
14,861,108.73,1.565
14.05,862,109.03,1.574
14.1,864,109.74,1.588
14.15,865,109.83,1.606
14.2,867,109.9,1.622
14.25,869,110.44,1.634
14.3,870,110.89,1.635
14.35,872,111.17,1.62
14.4,873,111.54,1.582
14.45,875,111.84,1.515
14.5,876,112.21,1.415
14.55,878,112.54,1.275
14.6,880,112.64,1.095
14.65,881,112.84,0.874
14.7,883,113.03,0.617
14.75,884,113.43,0.331
14.8,886,114.32,0.029
14.85,888,114.88,-0.277
14.9,889,114.76,-0.572
14.95,891,114.59,-0.843
15,892,114.42,-1.083
15.05,894,114.11,-1.284
15.1,896,113.92,-1.448
15.15,897,113.86,-1.573
15.2,899,113.69,-1.665
15.25,900,113.59,-1.729
15.3,902,113.78,-1.769
15.35,904,113.83,-1.791
15.4,905,113.68,-1.798
15.45,907,113.62,-1.794
