Time,Distance,Corr Speed,Math G Force Lat Filtered
s,m,km/h,G
,,,
,,,
0,0,212.68,0.023
0.05,3,213.28,0.014
0.1,6,213.92,0.006
0.15,9,214.54,-0.002
0.2,12,215.03,-0.009
0.25,15,215.6,-0.013
0.3,18,216.25,-0.015
0.35,21,216.7,-0.014
0.4,24,217.27,-0.012
0.45,27,217.79,-0.007
0.5,30,218.26,-0.003
0.55,33,218.96,0.002
0.6,36,219.48,0.006
0.65,39,219.92,0.009
0.7,42,220.57,0.01
0.75,45,220.97,0.01
0.8,49,221.47,0.009
0.85,52,222.14,0.006
0.9,55,222.61,0.003
0.95,58,223.19,-0.002
1,61,223.57,-0.007
1.05,64,224.11,-0.012
1.1,67,224.74,-0.018
1.15,70,225.18,-0.023
1.2,74,225.77,-0.027
1.25,77,226.22,-0.028
1.3,80,226.66,-0.028
1.35,83,227.15,-0.024
1.4,86,227.74,-0.018
1.45,89,228.18,-0.01
1.5,93,228.7,-0.001
1.55,96,229.12,0.007
1.6,99,229.48,0.012
1.65,102,230.06,0.014
1.7,105,230.7,0.011
1.75,109,231.19,0.004
1.8,112,231.53,-0.006
1.85,115,231.97,-0.017
1.9,118,232.44,-0.028
1.95,122,232.92,-0.038
2,125,233.5,-0.046
2.05,128,234.05,-0.05
2.1,131,234.38,-0.052
2.15,135,234.93,-0.051
2.2,138,235.34,-0.048
2.25,141,235.56,-0.043
2.3,145,235.97,-0.037
2.35,148,236.47,-0.032
2.4,151,237.07,-0.028
2.45,154,237.41,-0.026
2.5,158,237.68,-0.026
2.55,161,237.94,-0.027
2.6,164,238.16,-0.028
2.65,168,238.71,-0.029
2.7,171,239.21,-0.028
2.75,174,239.46,-0.025
2.8,178,239.88,-0.02
2.85,181,240.35,-0.011
2.9,185,240.83,0
2.95,188,241.37,0.013
3,191,241.6,0.027
3.05,195,241.96,0.043
3.1,198,242.58,0.059
3.15,201,243.01,0.074
3.2,205,243.38,0.087
3.25,208,243.71,0.098
3.3,212,244.02,0.106
3.35,215,244.52,0.111
3.4,218,245.05,0.112
3.45,222,245.37,0.109
3.5,225,245.74,0.103
3.55,229,246.25,0.094
3.6,232,246.59,0.082
3.65,236,246.94,0.067
3.7,239,247.37,0.051
3.75,243,247.64,0.034
3.8,246,248.02,0.017
3.85,249,248.39,0
3.9,253,248.71,-0.017
3.95,256,249.16,-0.031
4,260,249.54,-0.042
4.05,263,249.95,-0.049
4.1,267,250.44,-0.052
4.15,270,250.88,-0.048
4.2,274,251.17,-0.04
4.25,277,251.38,-0.027
4.3,281,251.75,-0.011
4.35,284,252.09,0.006
4.4,288,252.5,0.022
4.45,291,252.97,0.036
4.5,295,253.03,0.047
4.55,299,253.22,0.053
4.6,302,253.61,0.054
4.65,306,253.87,0.049
4.7,309,254.28,0.039
4.75,313,254.62,0.025
4.8,316,254.82,0.007
4.85,320,255.18,-0.011
4.9,323,255.48,-0.028
4.95,327,255.7,-0.041
5,331,255.98,-0.047
5.05,334,256.32,-0.047
5.1,338,256.74,-0.039
5.15,341,256.87,-0.026
5.2,345,257.2,-0.009
5.25,348,257.9,0.008
5.3,352,257.95,0.025
5.35,356,258.16,0.037
5.4,359,258.79,0.045
5.45,363,258.79,0.048
5.5,367,258.88,0.046
5.55,370,259.4,0.042
5.6,374,259.5,0.036
5.65,377,259.69,0.031
5.7,381,260.14,0.028
5.75,385,260.26,0.028
5.8,388,260.63,0.029
5.85,392,261.17,0.033
5.9,396,261.35,0.035
5.95,399,261.49,0.036
6,403,261.7,0.033
6.05,407,262,0.027
6.1,410,262.3,0.018
6.15,414,262.43,0.006
6.2,418,262.68,-0.008
6.25,421,262.96,-0.024
6.3,425,263.3,-0.041
6.35,429,263.54,-0.057
6.4,432,263.57,-0.072
6.45,436,263.78,-0.084
6.5,440,264.06,-0.093
6.55,443,264.16,-0.097
6.6,447,264.35,-0.096
6.65,451,264.62,-0.092
6.7,454,264.85,-0.085
6.75,458,265.12,-0.077
6.8,462,265.38,-0.066
6.85,465,265.72,-0.053
6.9,469,265.87,-0.035
6.95,473,266.19,-0.013
7,477,266.75,0.014
7.05,480,266.24,0.046
7.1,484,265.06,0.078
7.15,488,262.03,0.11
7.2,491,257.47,0.138
7.25,495,253.22,0.161
7.3,498,244.33,0.177
7.35,502,235.52,0.184
7.4,505,235.92,0.184
7.45,508,233.9,0.177
7.5,511,229.52,0.166
7.55,515,227.99,0.152
7.6,518,224.34,0.138
7.65,521,219.84,0.128
7.7,524,216.65,0.123
7.75,527,213.72,0.127
7.8,530,208.82,0.139
7.85,533,205.93,0.159
7.9,536,204.32,0.187
7.95,538,199.29,0.221
8,541,196.43,0.259
8.05,544,195.58,0.301
8.1,547,192.24,0.344
8.15,549,189.9,0.389
8.2,552,187.15,0.437
8.25,554,184.28,0.487
8.3,557,182.84,0.539
8.35,560,180.53,0.595
8.4,562,177.68,0.653
8.45,565,175.09,0.714
8.5,567,172.38,0.777
8.55,569,170.24,0.844
8.6,572,168.07,0.912
8.65,574,165.65,0.983
8.7,576,163.8,1.056
8.75,579,162.12,1.131
8.8,581,160.32,1.205
8.85,583,158.65,1.277
8.9,585,156.84,1.346
8.95,587,155.08,1.41
9,590,153.84,1.468
9.05,592,152.74,1.519
9.1,594,151.56,1.566
9.15,596,150.76,1.607
9.2,598,149.86,1.644
9.25,600,148.48,1.678
9.3,602,147.58,1.71
9.35,604,146.65,1.738
9.4,606,145.42,1.765
9.45,608,144.41,1.788
9.5,610,143.12,1.808
9.55,612,141.84,1.827
9.6,614,140.87,1.844
9.65,616,140.06,1.862
9.7,618,139.55,1.881
9.75,620,139.42,1.901
9.8,622,139.27,1.922
9.85,624,138.81,1.941
9.9,626,138.18,1.958
9.95,628,137.72,1.97
10,630,137.3,1.978
10.05,632,136.51,1.983
10.1,634,135.9,1.987
10.15,635,135.46,1.992
10.2,637,135.04,2
10.25,639,134.93,2.012
10.3,641,135.07,2.03
10.35,643,135.07,2.051
10.4,645,134.95,2.077
10.45,647,135.33,2.105
10.5,649,135.68,2.135
10.55,651,135.83,2.166
10.6,652,136.44,2.194
10.65,654,137.38,2.219
10.7,656,138.05,2.236
10.75,658,138.59,2.241
10.8,660,139.27,2.232
10.85,662,139.86,2.204
10.9,664,140.3,2.154
10.95,666,140.83,2.077
11,668,141.46,1.974
11.05,670,142.34,1.841
11.1,672,143.28,1.678
11.15,674,144.14,1.485
11.2,676,145.08,1.263
11.25,678,145.73,1.013
11.3,680,146.36,0.739
11.35,682,147.66,0.447
11.4,684,148.96,0.146
11.45,686,150.07,-0.158
11.5,688,151.24,-0.454
11.55,691,152.26,-0.733
11.6,693,153.1,-0.991
11.65,695,153.83,-1.219
11.7,697,154.42,-1.419
11.75,699,154.72,-1.586
11.8,701,154.87,-1.723
11.85,703,155.14,-1.83
11.9,706,155.35,-1.913
11.95,708,155.06,-1.973
12,710,154.93,-2.016
12.05,712,155.45,-2.043
12.1,714,155.56,-2.056
12.15,716,154.82,-2.057
12.2,719,154.64,-2.047
12.25,721,155.2,-2.03
12.3,723,155.28,-2.008
12.35,725,154.85,-1.982
12.4,727,154.94,-1.954
12.45,729,155.11,-1.925
12.5,732,155.16,-1.897
12.55,734,155.96,-1.87
12.6,736,156.29,-1.844
12.65,738,155.96,-1.819
12.7,740,156.4,-1.796
12.75,743,157.37,-1.776
12.8,745,157.14,-1.761
12.85,747,156.4,-1.755
12.9,749,156.95,-1.76
12.95,751,158.03,-1.781
13,754,158.83,-1.816
13.05,756,160.05,-1.866
13.1,758,161.41,-1.925
13.15,760,162.18,-1.988
13.2,763,163.09,-2.05
13.25,765,163.63,-2.102
13.3,767,163.79,-2.141
13.35,769,164.44,-2.161
13.4,772,164.89,-2.16
13.45,774,165.43,-2.138
13.5,776,166.55,-2.097
13.55,779,167.42,-2.04
13.6,781,168.41,-1.973
13.65,783,169.69,-1.898
13.7,786,170.45,-1.818
13.75,788,171.01,-1.735
13.8,791,171.95,-1.648
13.85,793,172.95,-1.559
13.9,795,173.62,-1.469
13.95,798,173.96,-1.378
14,800,174.2,-1.29
14.05,803,175.32,-1.209
14.1,805,176.54,-1.137
14.15,808,177.28,-1.079
14.2,810,177.77,-1.034
14.25,813,177.86,-1.005
14.3,815,178.39,-0.989
14.35,818,179.94,-0.988
14.4,820,181.06,-0.997
14.45,823,180.35,-1.014
14.5,825,180.48,-1.037
14.55,828,182.09,-1.063
14.6,830,182.93,-1.093
14.65,833,183.41,-1.125
14.7,835,184.68,-1.158
14.75,838,185.59,-1.189
14.8,841,186.01,-1.218
14.85,843,186.86,-1.242
14.9,846,187.42,-1.26
14.95,848,187.94,-1.272
15,851,188.98,-1.278
15.05,854,189.81,-1.275
15.1,856,190.52,-1.265
15.15,859,191.24,-1.243
15.2,862,191.69,-1.21
15.25,864,192.32,-1.164
15.3,867,193.08,-1.105
15.35,870,193.46,-1.034
15.4,872,194.03,-0.954
15.45,875,194.97,-0.865
15.5,878,195.68,-0.772
15.55,881,196.09,-0.676
