Time,Distance,Corr Speed,Math G Force Lat Corr
0.07,0,270.96,0.01
0.07,5.13,270.96,0.01
0.13,10.26,271.02,-0.01
0.21,15.39,271.17,0.02
0.27,20.52,271.77,0.01
0.33,25.65,271.89,0.06
0.41,30.78,272.19,0.05
0.47,35.91,272.43,0.04
0.55,41.04,273.12,0.03
0.61,46.17,272.76,-0.01
0.67,51.3,273.36,-0.03
0.75,56.43,273.84,0.01
0.81,61.56,273.69,-0.03
0.87,66.69,273.99,0.02
0.95,71.82,274.26,0.02
1.01,76.95,274.74,0.06
1.09,82.08,274.41,-0.005
1.15,87.21,275.1,0.03
1.21,92.34,274.89,0.015
1.29,97.47,275.22,-0.01
1.35,102.6,275.13,0
1.41,107.73,275.76,0.02
1.47,112.86,276.12,0.01
1.55,117.99,275.85,0.01
1.61,123.12,276.93,0.04
1.69,128.25,276.57,0.055
1.75,133.38,277.08,0.05
1.81,138.51,277.38,0.1
1.87,143.64,276.82,0.06
1.95,148.77,277.86,0.09
2.01,153.9,277.11,0.08
2.09,159.03,278.58,0.11
2.15,164.16,277.59,0.12
2.21,169.29,278.4,0.12
2.27,174.42,278.97,0.085
2.35,179.55,278.73,0.06
2.41,184.68,279.63,0.045
2.47,189.81,279.12,0.03
2.53,194.94,279.66,0.03
2.61,200.07,279.36,0.05
2.67,205.2,279.87,0.02
2.75,210.33,280.08,0.035
2.81,215.46,279.87,0.005
2.87,220.59,280.62,0.01
2.93,225.72,280.92,0
2.99,230.85,281.34,0.02
3.07,235.98,281.16,0.01
3.13,241.11,281.73,0.05
3.21,246.24,281.49,-0.015
3.27,251.37,281.76,-0.03
3.33,256.5,281.91,-0.09
3.39,261.63,282.39,-0.115
3.45,266.76,282.54,-0.09
3.51,271.89,282.45,-0.04
3.59,277.02,283.2,-0.04
3.65,282.15,282.33,-0.025
3.73,287.28,283.44,0
3.79,292.41,283.63,0.01
3.85,297.54,283.59,0.06
3.91,302.67,283.74,0.035
3.97,307.8,284.07,0.01
4.03,312.93,284.1,-0.01
4.11,318.06,283.53,0.04
4.17,323.19,284.52,0.05
4.25,328.32,284.67,0.11
4.31,333.45,285.03,0.09
4.37,338.58,284.76,0.09
4.43,343.71,284.85,0.02
4.49,348.84,285.27,-0.01
4.55,353.97,285.57,-0.05
4.63,359.1,285.54,0.03
4.69,364.23,285.93,0.02
4.75,369.36,286.26,0.04
4.81,374.49,285.78,0.03
4.89,379.62,286.26,-0.02
4.95,384.75,286.14,0
5.01,389.88,286.92,-0.01
5.09,395.01,286.98,0.04
5.15,400.14,286.83,0.08
5.21,405.27,286.74,0.11
5.27,410.4,287.04,0.16
5.33,415.53,287.73,0.15
5.39,420.66,287.16,0.11
5.45,425.79,287.31,0.14
5.51,430.92,287.55,0.11
5.59,436.05,287.64,0.06
5.65,441.18,288.03,0.06
5.71,446.31,288.33,0.03
5.79,451.44,288.72,0.03
5.85,456.57,287.97,0.04
5.91,461.7,288.6,0.08
5.97,466.83,288.9,0.09
6.03,471.96,289.14,0.09
6.11,477.09,288.96,0.15
6.17,482.22,289.41,0.15
6.23,487.35,290.19,0.2
6.29,492.48,290.07,0.16
6.35,497.61,290.04,0.16
6.41,502.74,289.98,0.14
6.47,507.87,290.97,0.1
6.54,513,291.06,0.13
6.61,518.13,291.42,0.11
6.67,523.26,291.12,0.135
6.73,528.39,291.57,0.12
6.79,533.52,292.68,0.13
6.85,538.65,291.495,0.115
6.91,543.78,289.31,-0.025
6.99,548.91,284.025,-0.09
7.05,554.04,277.99,-0.17
7.13,559.17,269.275,-0.245
7.19,564.3,263.05,-0.22
7.27,569.43,254.335,-0.29
7.33,574.56,248.065,-0.22
7.41,579.69,240.23,-0.23
7.49,584.82,232.59,-0.28
7.57,589.95,225.72,-0.255
7.65,595.08,220.12,-0.375
7.75,600.21,212.33,-0.6
7.83,605.34,207.855,-0.925
7.91,610.47,203.345,-1.395
8.01,615.6,199.305,-1.94
8.09,620.73,196,-2.415
8.19,625.86,192.355,-2.175
8.29,630.99,188.315,-2.19
8.39,636.12,184.5,-2.24
8.49,641.25,181.525,-2.265
8.59,646.38,178.915,-2.45
8.69,651.51,176.905,-2.495
8.8,656.64,174.73,-2.51
8.91,661.77,172.39,-2.585
9.01,666.9,170.145,-2.925
9.13,672.03,167.47,-2.675
9.25,677.16,167.91,-2.1
9.35,682.29,168.12,-2.07
9.45,687.42,170.49,-2.135
9.57,692.55,170.85,-2.325
9.67,697.68,172.38,-2.155
9.77,702.81,172.02,-2.065
9.87,707.94,173.7,-2.02
9.99,713.07,175.32,-2.045
10.09,718.2,177.09,-2.1
10.19,723.33,177.9,-1.955
10.29,728.46,179.52,-1.83
10.39,733.59,181.2,-1.995
10.49,738.72,181.53,-1.44
10.59,743.85,183.24,-1.12
10.69,748.98,185.79,-1.105
10.81,754.11,186.63,-1.215
10.91,759.24,188.04,-1.07
10.99,764.37,189.66,-1.01
11.09,769.5,191.07,-1.195
11.19,774.63,192.09,-1.42
11.27,779.76,192.81,-1.34
11.37,784.89,194.25,-1.37
11.49,790.02,195.75,-1.41
11.57,795.15,196.95,-1.43
11.67,800.28,197.82,-1.535
11.75,805.41,199.89,-1.785
11.85,810.54,201.15,-2.105
11.93,815.67,201.78,-2.215
12.03,820.8,202.86,-2.42
12.11,825.93,203.7,-2.49
12.21,831.06,204.27,-2.3
12.31,836.19,205.35,-2.28
12.39,841.32,206.28,-2.28
12.47,846.45,206.22,-2.04
12.57,851.58,208.17,-1.83
12.65,856.71,208.68,-1.765
12.73,861.84,208.98,-1.64
12.83,866.97,210.54,-1.755
12.93,872.1,211.35,-1.78
13.01,877.23,212.31,-1.71
13.09,882.36,212.43,-1.77
13.17,887.49,211.225,-1.52
13.27,892.62,206.275,-1.075
13.35,897.75,199.985,-0.76
13.45,902.88,191.62,-0.7
13.57,908.01,181.175,-0.74
13.67,913.14,173.32,-0.69
13.77,918.27,165.815,-0.7
13.87,923.4,159.125,-0.53
13.99,928.53,151.27,-0.4
14.11,933.66,144.165,-0.39
14.24,938.79,136.61,-0.51
14.38,943.92,128.03,-0.695
14.55,949.05,118.745,-1.07
14.71,954.18,112.315,-1.305
14.88,959.31,106.35,-1.47
15.04,964.44,101.425,-1.58
15.22,969.57,96.55,-1.735
15.42,974.7,92.315,-1.89
15.62,979.83,88.37,-1.865
15.82,984.96,84.985,-1.905
16.08,990.09,80.87,-1.795
16.31,995.22,78.67,-1.81
16.54,1000.35,77.49,-1.665
16.76,1005.48,81.75,-1.735
16.98,1010.61,84.72,-1.65
17.19,1015.74,87.99,-1.6
17.4,1020.87,91.83,-1.5
17.6,1026,96.42,-1.39
17.8,1031.13,101.22,-1.325
17.98,1036.26,106.77,-1.3
18.14,1041.39,111.69,-1.4
18.3,1046.52,116.55,-1.3
