Time,Distance,Alias Vehicle Speed,Math G Force Lat Corr
s,m,km/h,G
0,0,270.4,-0.04
0.02,2,270.2,-0.04
0.04,3,270.5,-0.02
0.06,5,271.1,0
0.08,6,270.8,0.02
0.1,8,270.7,0.01
0.12,9,271.1,-0.01
0.14,11,271,-0.01
0.16,12,270.4,0.01
0.18,14,270.8,0.02
0.2,15,271.3,0.02
0.22,17,271,0.02
0.24,18,271.4,0.02
0.26,20,271.9,0
0.28,21,271.7,0.02
0.3,23,271.1,0.04
0.32,24,271.9,0.06
0.34,26,271.9,0.06
0.36,27,271.6,0.04
0.38,29,271.9,0.04
0.4,30,272.3,0.04
0.42,32,272.1,0.06
0.44,33,271.7,0.06
0.46,35,272.4,0.04
0.48,36,272.5,0.04
0.5,38,272.3,0.04
0.52,39,272.7,0.04
0.54,41,273.1,0.04
0.56,42,273.1,0.02
0.58,44,272.7,0.01
0.6,45,272.8,-0.01
0.62,47,272.7,-0.01
0.64,48,272.5,-0.03
0.66,50,272.9,-0.03
0.68,52,273.8,-0.03
0.7,53,273.9,-0.01
0.72,55,273.5,-0.01
0.74,56,273.8,0.01
0.76,58,273.8,0.01
0.78,59,273.5,-0.01
0.8,61,273.2,-0.03
0.82,62,274.1,-0.03
0.84,64,274.2,-0.01
0.86,65,273.9,0.01
0.88,67,274.1,0.03
0.9,68,273.8,0.03
0.92,70,273.5,0.01
0.94,71,274,0.01
0.96,73,274.6,0.03
0.98,74,274.8,0.05
1,76,274.4,0.06
1.02,77,275,0.06
1.04,79,274.7,0.04
1.06,81,273.7,0.02
1.08,82,274.1,0
1.1,84,274.7,-0.01
1.12,85,275,0.01
1.14,87,274.7,0.02
1.16,88,275.5,0.04
1.18,90,275.2,0.04
1.2,91,274.8,0.02
1.22,93,275,0.01
1.24,94,275.3,-0.01
1.26,96,275.2,0
1.28,97,275.1,0
1.3,99,275.3,-0.02
1.32,100,275.6,-0.01
1.34,102,275,0.01
1.36,104,275.3,-0.01
1.38,105,275.7,0
1.4,107,275.9,0.02
1.42,108,275.6,0.02
1.44,110,275.6,0.01
1.46,111,276.2,0.01
1.48,113,276,0.01
1.5,114,275.9,0.01
1.52,116,276.4,0.01
1.54,117,276.1,0.01
1.56,119,275.6,0.01
1.58,120,276,0.01
1.6,122,276.8,0.03
1.62,124,277.1,0.05
1.64,125,276.8,0.04
1.66,127,276.8,0.04
1.68,128,277,0.05
1.7,130,276.1,0.06
1.72,131,276.2,0.04
1.74,133,277,0.04
1.76,134,277.2,0.06
1.78,136,277.2,0.08
1.8,137,277.2,0.1
1.82,139,277.6,0.1
1.84,140,276.6,0.08
1.86,142,276.6,0.06
1.88,144,277.1,0.06
1.9,145,277.3,0.08
1.92,147,277.2,0.1
1.94,148,277.6,0.09
1.96,150,278.1,0.09
1.98,151,277.8,0.07
2,153,277,0.07
2.02,154,277.3,0.09
2.04,156,278.1,0.1
2.06,157,278.1,0.08
2.08,159,278.3,0.1
2.1,161,278.8,0.12
2.12,162,278.5,0.14
2.14,164,277.6,0.13
2.16,165,277.6,0.11
2.18,167,278.2,0.13
2.2,168,278.3,0.13
2.22,170,278.5,0.11
2.24,171,278.9,0.09
2.26,173,279.4,0.08
2.28,175,278.5,0.09
2.3,176,278.4,0.11
2.32,178,278.9,0.09
2.34,179,278.9,0.07
2.36,181,278.6,0.05
2.38,182,279.1,0.04
2.4,184,279.7,0.04
2.42,185,279.6,0.05
2.44,187,278.9,0.05
2.46,189,278.9,0.03
2.48,190,279.3,0.03
2.5,192,279.2,0.03
2.52,193,279.2,0.03
2.54,195,280.1,0.03
2.56,196,280,0.04
2.58,198,279.2,0.04
2.6,199,279.2,0.05
2.62,201,279.5,0.05
2.64,203,279.5,0.03
2.66,204,279.7,0.03
2.68,206,280,0.01
2.7,207,280.8,0.03
2.72,209,280.6,0.04
2.74,210,280.2,0.04
2.76,212,280,0.03
2.78,213,280,0.01
2.8,215,279.5,0.01
2.82,217,280.2,0
2.84,218,280.9,0
2.86,220,281,0
2.88,221,280.2,0.02
2.9,223,280.3,0.02
2.92,224,281,0.01
2.94,226,280.9,-0.01
2.96,228,280.9,-0.01
2.98,229,281.1,0.01
3,231,281.6,0.03
3.02,232,281.2,0.03
3.04,234,280.7,0.03
3.06,235,281.2,0.01
3.08,237,281.2,0.01
3.1,239,281.2,0.03
3.12,240,281.5,0.05
3.14,242,281.9,0.05
3.16,243,281.7,0.03
3.18,245,280.8,0.01
3.2,246,281.2,-0.01
3.22,248,281.8,-0.02
3.24,250,281.9,0
3.26,251,281.6,-0.02
3.28,253,281.9,-0.04
3.3,254,282.4,-0.06
3.32,256,282.2,-0.08
3.34,257,281.6,-0.1
3.36,259,282,-0.12
3.38,261,282.3,-0.12
3.4,262,282.5,-0.11
3.42,264,282.2,-0.12
3.44,265,282.6,-0.1
3.46,267,282.5,-0.08
3.48,268,281.8,-0.06
3.5,270,282.1,-0.04
3.52,272,282.8,-0.04
3.54,273,283.1,-0.02
3.56,275,282.8,-0.02
3.58,276,283,-0.04
3.6,278,283.4,-0.04
3.62,279,283,-0.02
3.64,281,282.2,-0.02
3.66,283,282.5,-0.03
3.68,284,283.4,-0.03
3.7,286,283.6,-0.02
3.72,287,283.3,-0.01
3.74,289,283.6,0.01
3.76,290,283.7,0.01
3.78,292,283.7,0.01
3.8,294,283.5,0.01
3.82,295,283.4,0.03
3.84,297,283.6,0.05
3.86,298,283.6,0.07
3.88,300,283.3,0.05
3.9,302,283.9,0.04
3.92,303,283.6,0.03
3.94,305,283.1,0.03
3.96,306,283.7,0.02
3.98,308,284.4,0
4,309,284.6,-0.02
4.02,311,284.1,-0.02
4.04,313,284.1,0
4.06,314,284.4,0
4.08,316,284,0.02
4.1,317,283.3,0.04
4.12,319,283.7,0.04
4.14,321,284.5,0.02
4.16,322,284.6,0.04
4.18,324,284.4,0.06
4.2,325,284.4,0.08
4.22,327,285,0.1
4.24,328,284.9,0.12
4.26,330,284.5,0.1
4.28,332,284.9,0.08
4.3,333,285.1,0.08
4.32,335,284.9,0.1
4.34,336,284.3,0.12
4.36,338,284.6,0.1
4.38,340,284.9,0.08
4.4,341,284.9,0.06
4.42,343,284.6,0.03
4.44,344,285.1,0.01
4.46,346,285.8,0
4.48,347,285.5,0
4.5,349,285,-0.02
4.52,351,285.7,-0.04
4.54,352,285.5,-0.06
4.56,354,285.6,-0.04
4.58,355,285.4,-0.02
4.6,357,285.9,0
4.62,359,285.8,0.02
4.64,360,285.3,0.04
4.66,362,285.4,0.02
4.68,363,286,0.02
4.7,365,285.8,0.02
4.72,367,285.7,0.02
4.74,368,285.9,0.04
4.76,370,286.6,0.04
4.78,371,286.2,0.04
4.8,373,285.7,0.04
4.82,375,285.8,0.02
4.84,376,286.4,0
4.86,378,286.4,-0.01
4.88,379,286.1,-0.01
4.9,381,286.4,-0.03
4.92,383,286.9,-0.03
4.94,384,286.5,-0.01
4.96,386,285.8,0.01
4.98,387,286.1,-0.01
5,389,286.9,-0.01
5.02,391,287,-0.01
5.04,392,286.6,0.01
5.06,394,286.7,0.03
5.08,395,287.1,0.03
5.1,397,286.9,0.05
5.12,399,286.4,0.06
5.14,400,286.6,0.08
5.16,402,287.1,0.08
5.18,403,287.2,0.1
5.2,405,286.7,0.1
5.22,407,286.7,0.12
5.24,408,287.3,0.14
5.26,410,287.1,0.16
5.28,411,287,0.16
5.3,413,287.2,0.16
5.32,415,287.9,0.16
5.34,416,287.6,0.14
5.36,418,286.7,0.14
5.38,419,286.9,0.12
5.4,421,287.5,0.1
5.42,423,287.4,0.12
5.44,424,287.2,0.14
5.46,426,287.5,0.14
5.48,427,288.1,0.14
5.5,429,287.7,0.12
5.52,431,287.4,0.1
5.54,432,287.5,0.09
5.56,434,288.2,0.07
5.58,435,287.9,0.07
5.6,437,287.3,0.05
5.62,439,287.6,0.05
5.64,440,288.2,0.05
5.66,442,287.9,0.07
5.68,443,287.7,0.05
5.7,445,288,0.03
5.72,447,288.7,0.03
5.74,448,288.7,0.05
5.76,450,288.4,0.05
5.78,451,288.5,0.03
5.8,453,289,0.03
5.82,455,288.5,0.03
5.84,456,287.8,0.04
5.86,458,288.1,0.04
5.88,459,288.8,0.06
5.9,461,288.8,0.07
5.92,463,288.4,0.09
5.94,464,288.7,0.09
5.96,466,288.8,0.09
5.98,467,289,0.09
6,469,288.7,0.1
6.02,471,288.9,0.09
6.04,472,289.4,0.09
6.06,474,289.6,0.11
6.08,476,289.4,0.13
6.1,477,288.7,0.15
6.12,479,289.3,0.15
6.14,480,289.6,0.13
6.16,482,289.6,0.15
6.18,484,289.2,0.15
6.2,485,290,0.17
6.22,487,290.4,0.19
6.24,488,290,0.21
6.26,490,289.3,0.19
6.28,492,289.8,0.17
6.3,493,290.3,0.15
6.32,495,290.2,0.15
6.34,497,289.8,0.15
6.36,498,290.3,0.17
6.38,500,290.7,0.17
6.4,501,290.2,0.15
6.42,503,289.8,0.13
6.44,505,290,0.11
6.46,506,290.9,0.09
6.48,508,291,0.11
6.5,509,290.8,0.11
6.52,511,290.8,0.13
6.54,513,291.1,0.13
6.56,514,290.9,0.11
6.58,516,290.9,0.09
6.6,518,291.1,0.11
6.62,519,291.7,0.11
6.64,521,291.8,0.13
6.66,522,291.5,0.13
6.68,524,290.8,0.14
6.7,526,291.3,0.12
6.72,527,291.5,0.12
6.74,529,291.6,0.12
6.76,531,291.4,0.12
6.78,532,292.4,0.12
6.8,534,292.9,0.14
6.82,535,291.8,0.16
6.84,537,291.7,0.14
6.86,539,291.3,0.09
6.88,540,290.7,0.04
6.9,542,289.8,-0.01
6.92,544,288.8,-0.04
6.94,545,287.8,-0.04
6.96,547,286.6,-0.04
6.98,548,285,-0.06
7,550,283.1,-0.12
7.02,551,281,-0.17
7.04,553,279,-0.18
7.06,555,277,-0.16
7.08,556,274.9,-0.16
7.1,558,272.6,-0.18
7.12,559,270.3,-0.23
7.14,561,268.2,-0.26
7.16,562,266.2,-0.24
7.18,564,264.1,-0.22
7.2,565,262,-0.22
7.22,566,259.8,-0.24
7.24,568,257.5,-0.27
7.26,569,255.4,-0.3
7.28,571,253.3,-0.28
7.3,572,251.2,-0.23
7.32,574,249.2,-0.21
7.34,575,247,-0.23
7.36,576,244.8,-0.28
7.38,578,242.9,-0.3
7.4,579,241.1,-0.26
7.42,580,239.3,-0.2
7.44,582,237.6,-0.18
7.46,583,235.5,-0.2
7.48,584,233.3,-0.26
7.5,586,231.9,-0.3
7.52,587,230.2,-0.3
7.54,588,228.5,-0.26
7.56,589,226.7,-0.24
7.58,591,224.8,-0.27
7.6,592,222.9,-0.33
7.62,593,221.2,-0.39
7.64,594,220.9,-0.37
7.66,596,219.4,-0.38
7.68,597,217.8,-0.41
7.7,598,216.2,-0.43
7.72,599,214.5,-0.45
7.74,600,212.9,-0.54
7.76,602,211.8,-0.66
7.78,603,211,-0.71
7.8,604,209.8,-0.81
7.82,605,208.5,-0.91
7.84,606,207.2,-0.94
7.86,607,206,-1.01
7.88,608,204.8,-1.13
7.9,610,203.6,-1.31
7.92,611,203.1,-1.48
7.94,612,202.6,-1.61
7.96,613,201.7,-1.75
7.98,614,200.7,-1.87
8,615,199.7,-1.93
8.02,616,198.9,-1.95
8.04,617,198,-2.03
8.06,619,197.1,-2.18
8.08,620,196.2,-2.37
8.1,621,195.8,-2.46
8.12,622,195,-2.48
8.14,623,194.2,-2.45
8.16,624,193.4,-2.37
8.18,625,192.7,-2.23
8.2,626,192,-2.12
8.22,627,191.2,-2.08
8.24,628,190.3,-2.15
8.26,629,189.5,-2.2
8.28,630,188.7,-2.2
8.3,631,187.9,-2.18
8.32,632,187.1,-2.22
8.34,633,186.3,-2.25
8.36,635,185.6,-2.27
8.38,636,184.9,-2.25
8.4,637,184.2,-2.23
8.42,638,183.5,-2.23
8.44,639,182.9,-2.21
8.46,640,182.4,-2.23
8.48,641,181.8,-2.25
8.5,642,181.2,-2.28
8.52,643,180.7,-2.3
8.54,644,180.2,-2.32
8.56,645,179.6,-2.34
8.58,646,179.1,-2.41
8.6,647,178.7,-2.49
8.62,648,178.3,-2.47
8.64,649,177.9,-2.42
8.66,650,177.5,-2.48
8.68,651,177.1,-2.53
8.7,652,176.7,-2.46
8.72,653,176.3,-2.39
8.74,654,175.9,-2.37
8.76,655,175.5,-2.4
8.78,656,175.1,-2.48
8.8,656,174.7,-2.54
8.82,657,174.4,-2.54
8.84,658,174,-2.49
8.86,659,173.5,-2.49
8.88,660,173.1,-2.52
8.9,661,172.6,-2.54
8.92,662,172.2,-2.63
8.94,663,171.7,-2.76
8.96,664,171.3,-2.87
8.98,665,170.9,-2.91
9,666,170.4,-2.91
9.02,667,169.9,-2.94
9.04,668,169.4,-3.05
9.06,669,168.9,-3.16
9.08,670,168.5,-3.09
9.1,671,168,-2.92
9.12,672,167.6,-2.77
9.14,673,167.3,-2.58
9.16,674,167.2,-2.4
9.18,675,167.6,-2.29
9.2,675,167.9,-2.24
9.22,676,168.4,-2.19
9.24,677,167.9,-2.13
9.26,678,167.9,-2.07
9.28,679,167.2,-2.03
9.3,680,167.6,-2
9.32,681,167.7,-2.02
9.34,682,167.9,-2.06
9.36,683,168.4,-2.08
9.38,684,168.2,-2.06
9.4,685,168.7,-2.04
9.42,686,168.6,-2.04
9.44,687,170.2,-2.09
9.46,688,170.8,-2.18
9.48,689,171.5,-2.25
9.5,690,171.3,-2.31
9.52,691,170.9,-2.34
9.54,691,170.7,-2.36
9.56,692,170.6,-2.34
9.58,693,171.1,-2.31
9.6,694,171.2,-2.31
9.62,695,172.1,-2.29
9.64,696,172,-2.27
9.66,697,172.6,-2.2
9.68,698,172.1,-2.11
9.7,699,172.2,-2.02
9.72,700,172.3,-2
9.74,701,172.1,-2.02
9.76,702,172.1,-2.05
9.78,703,172,-2.08
9.8,704,172.4,-2.08
9.82,705,172.5,-2.07
9.84,706,173.5,-2.05
9.86,707,173.4,-2.03
9.88,708,174,-2.01
9.9,709,174.5,-2.03
9.92,710,175,-2.02
9.94,711,175.3,-2.01
9.96,712,175.4,-2.01
9.98,713,175.3,-2.03
10,714,175.3,-2.06
10.02,715,176.2,-2.09
10.04,716,176.2,-2.11
10.06,717,176.9,-2.13
10.08,718,176.7,-2.11
10.1,719,177.5,-2.09
10.12,720,177.2,-2.1
10.14,721,177.3,-2.08
10.16,722,177.3,-2.02
10.18,723,177.8,-1.97
10.2,724,178,-1.94
10.22,725,178.8,-1.92
10.24,726,179.2,-1.86
10.26,727,179.8,-1.81
10.28,728,179.6,-1.81
10.3,729,179.4,-1.85
10.32,730,181,-1.87
10.34,731,181.2,-1.91
10.36,732,181.5,-1.98
10.38,733,181.1,-2.01
