Time,Distance,Corr Speed,Math G Force Lat Filtered
s,m,km/h,G
0,0,235.63,0.097
0.05,3,236.01,0.092
0.1,7,236.35,0.089
0.15,10,237.31,0.088
0.2,13,237.67,0.088
0.25,17,238.09,0.089
0.3,20,238.34,0.088
0.35,23,238.75,0.086
0.4,27,239.18,0.082
0.45,30,239.3,0.076
0.5,33,239.72,0.067
0.55,37,240.28,0.057
0.6,40,240.89,0.045
0.65,43,241.51,0.033
0.7,47,241.9,0.023
0.75,50,242.11,0.014
0.8,54,242.48,0.008
0.85,57,243.08,0.005
0.9,60,243.48,0.005
0.95,64,243.64,0.009
1,67,244.44,0.014
1.05,71,244.87,0.022
1.1,74,244.73,0.03
1.15,78,245.14,0.04
1.2,81,245.68,0.048
1.25,84,246.14,0.056
1.3,88,246.6,0.064
1.35,91,247.04,0.07
1.4,95,247.24,0.076
1.45,98,247.69,0.08
1.5,102,248.57,0.084
1.55,105,248.71,0.086
1.6,109,248.42,0.087
1.65,112,248.92,0.086
1.7,116,249.84,0.084
1.75,119,250.27,0.081
1.8,123,250.8,0.076
1.85,126,251.05,0.07
1.9,130,250.76,0.064
1.95,133,251.61,0.056
2,137,252.12,0.048
2.05,140,252.14,0.038
2.1,144,252.62,0.027
2.15,147,252.86,0.015
2.2,151,253.37,0.003
2.25,154,253.38,-0.009
2.3,158,253.16,-0.021
2.35,162,253.9,-0.033
2.4,165,254.46,-0.045
2.45,169,254.68,-0.056
2.5,172,255.17,-0.068
2.55,176,255.16,-0.079
2.6,179,255.25,-0.089
2.65,183,255.85,-0.099
2.7,187,255.46,-0.105
2.75,190,255.52,-0.109
2.8,194,256.54,-0.109
2.85,197,257.29,-0.104
2.9,201,257.63,-0.095
2.95,205,257.34,-0.081
3,208,257.84,-0.063
3.05,212,258.59,-0.042
3.1,215,258.38,-0.019
3.15,219,258.35,0.005
3.2,223,258.86,0.027
3.25,226,258.98,0.047
3.3,230,258.86,0.064
3.35,234,258.92,0.077
3.4,237,259.42,0.086
3.45,241,260.18,0.092
3.5,244,260.21,0.095
3.55,248,260.3,0.095
3.6,252,261.08,0.093
3.65,255,261.28,0.089
3.7,259,261.06,0.083
3.75,263,261.26,0.074
3.8,266,261.88,0.065
3.85,270,262.22,0.054
3.9,274,262.74,0.044
3.95,277,262.88,0.037
4,281,262.39,0.031
4.05,285,263.04,0.031
4.1,288,263.63,0.034
4.15,292,263.4,0.042
4.2,296,263.56,0.055
4.25,300,263.59,0.069
4.3,303,263.47,0.086
4.35,307,264.03,0.102
4.4,311,264.2,0.116
4.45,314,264.29,0.128
4.5,318,264.55,0.138
4.55,322,264.2,0.147
4.6,325,264.55,0.154
4.65,329,265.01,0.161
4.7,333,264.56,0.167
4.75,337,264.19,0.175
4.8,340,263.46,0.185
4.85,344,262.61,0.202
4.9,348,258.82,0.227
4.95,351,255.44,0.266
5,355,254.29,0.318
5.05,358,246.25,0.385
5.1,362,241.44,0.464
5.15,365,243.32,0.555
5.2,368,241.8,0.653
5.25,372,238.68,0.757
5.3,375,236.33,0.864
5.35,378,235.4,0.972
5.4,382,234.41,1.081
5.45,385,232.85,1.188
5.5,388,230.42,1.294
5.55,391,227.57,1.395
5.6,394,225.88,1.49
5.65,398,224.42,1.578
5.7,401,222.31,1.658
5.75,404,220.28,1.728
5.8,407,219.42,1.789
5.85,410,218.47,1.841
5.9,413,216.72,1.887
5.95,416,215.66,1.929
6,419,214.79,1.968
6.05,422,213.97,2.003
6.1,425,212.9,2.034
6.15,428,210.95,2.06
6.2,431,209.18,2.084
6.25,434,209.17,2.106
6.3,437,209.08,2.128
6.35,440,208.03,2.151
6.4,443,207.08,2.176
6.45,446,206.11,2.201
6.5,448,205.62,2.224
6.55,451,205.05,2.244
6.6,454,203.52,2.258
6.65,457,201.87,2.267
6.7,460,201.31,2.272
6.75,463,200.96,2.274
6.8,465,200.17,2.277
6.85,468,199.6,2.281
6.9,471,199.27,2.288
6.95,474,198.74,2.297
7,477,198.1,2.308
7.05,479,197.2,2.319
7.1,482,196.64,2.33
7.15,485,196.24,2.34
7.2,488,195.55,2.346
7.25,490,194.66,2.346
7.3,493,193.26,2.341
7.35,496,191.91,2.331
7.4,498,191.84,2.32
7.45,501,192.62,2.31
7.5,504,192.59,2.303
7.55,506,192.54,2.299
7.6,509,192.68,2.296
7.65,512,191.65,2.293
7.7,515,190.61,2.289
7.75,517,191.32,2.285
7.8,520,191.53,2.28
7.85,523,190.25,2.276
7.9,525,190.14,2.273
7.95,528,190.94,2.271
8,531,190.38,2.269
8.05,533,188.65,2.265
8.1,536,188.5,2.26
8.15,539,189.51,2.251
8.2,541,189.16,2.24
8.25,544,188.24,2.225
8.3,546,188.22,2.208
