# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.563132,1.439216,5.989,6.117
3.432201,1.211525,5.997,6.122
8.427542,0.983974,6.005,6.127
13.422893,0.756558,6.013,6.132
18.418252,0.529273,6.021,6.137
23.413619,0.302113,6.029,6.142
28.408994,0.075073,6.037,6.147
33.404375,-0.151852,6.045,6.152
38.399764,-0.378667,6.053,6.157
43.395158,-0.605376,6.061,6.162
48.390558,-0.831985,6.069,6.167
53.385964,-1.058498,6.077,6.172
58.381373,-1.284921,6.085,6.177
63.376787,-1.511259,6.093,6.182
68.372205,-1.737516,6.101,6.187
73.367626,-1.963698,6.109,6.192
78.363049,-2.18981,6.118,6.197
83.358475,-2.415856,6.126,6.202
88.353903,-2.641841,6.134,6.207
93.349331,-2.867771,6.142,6.212
98.344761,-3.09365,6.15,6.217
103.340191,-3.31948,6.158,6.222
108.335622,-3.545266,6.166,6.227
113.331054,-3.771011,6.174,6.232
118.326486,-3.996717,6.182,6.237
123.321918,-4.222389,6.19,6.242
128.31735,-4.44803,6.198,6.247
133.312782,-4.673642,6.206,6.252
138.308215,-4.89923,6.214,6.257
143.303646,-5.124797,6.222,6.262
148.299078,-5.350346,6.23,6.267
153.294509,-5.57588,6.238,6.272
158.289939,-5.801402,6.246,6.277
163.285368,-6.026917,6.254,6.282
168.280797,-6.252427,6.262,6.287
173.276224,-6.477936,6.27,6.292
178.27165,-6.703446,6.278,6.297
183.267075,-6.928963,6.286,6.302
188.262498,-7.154487,6.294,6.307
193.257919,-7.380024,6.302,6.312
198.253339,-7.605576,6.31,6.317
203.248757,-7.831147,6.318,6.322
208.244173,-8.05674,6.326,6.327
213.239587,-8.282358,6.334,6.332
218.234998,-8.508005,6.342,6.337
223.230407,-8.733684,6.35,6.342
228.225814,-8.959398,6.358,6.347
233.221217,-9.185151,6.366,6.352
238.216618,-9.410946,6.374,6.357
243.212016,-9.636787,6.382,6.362
248.207411,-9.862676,6.39,6.367
253.202803,-10.088617,6.398,6.372
258.198191,-10.314614,6.406,6.377
263.193576,-10.540669,6.414,6.382
268.188957,-10.766786,6.422,6.387
273.184334,-10.992969,6.43,6.392
278.179708,-11.21922,6.438,6.397
283.175077,-11.445544,6.446,6.402
288.170442,-11.671942,6.454,6.407
293.165803,-11.89842,6.462,6.412
298.16116,-12.124979,6.47,6.417
303.156512,-12.351624,6.478,6.422
308.151859,-12.578358,6.486,6.427
313.147201,-12.805184,6.494,6.432
318.142539,-13.032105,6.502,6.437
323.137871,-13.259124,6.51,6.442
328.133198,-13.486246,6.518,6.447
333.12852,-13.713473,6.526,6.452
338.123836,-13.940809,6.534,6.457
343.119146,-14.168257,6.542,6.462
348.114451,-14.395821,6.55,6.467
353.10975,-14.623503,6.559,6.472
358.105043,-14.851307,6.567,6.477
363.100329,-15.079237,6.575,6.482
368.095609,-15.307295,6.583,6.487
373.090883,-15.535485,6.591,6.492
378.08615,-15.763811,6.599,6.497
383.081411,-15.992276,6.607,6.502
388.076665,-16.220882,6.615,6.507
393.071911,-16.449634,6.623,6.512
398.067151,-16.678535,6.631,6.517
403.062383,-16.907588,6.639,6.522
408.057608,-17.136796,6.647,6.527
413.052826,-17.366163,6.655,6.532
418.048035,-17.595692,6.663,6.537
423.043237,-17.825386,6.671,6.542
428.038431,-18.055249,6.679,6.547
433.033618,-18.285275,6.687,6.552
438.028799,-18.515406,6.695,6.557
443.02398,-18.74557,6.703,6.562
448.019162,-18.975697,6.711,6.567
