Time,Corr Lap Dist,Math Inverse Corner Radius,Vehicle Speed,Yaw Velocity
0,0.156,0.000188036,187.3,-0.01
0.02,1.203,0.000140575,187.5,-0.01
0.04,2.242,0.000148395,187.7,-0.01
0.06,3.289,0.000160639,187.9,-0.01
0.08,4.328,0.000151333,188.1,-0.01
0.1,5.371,9.01E-05,188.3,-0.01
0.12,6.418,9.25E-05,188.5,-0.01
0.14,7.472,0.000156057,188.8,-0.01
0.16,8.519,0.000152596,189,-0.01
0.18,9.566,0.000156788,189.1,-0.01
0.2,10.621,0.000102357,189.3,-0.01
0.22,11.675,0.000153842,189.6,-0.01
0.24,12.73,0.000173783,189.8,-0.01
0.26,13.785,0.000139952,190,-0.01
0.28,14.836,0.000202428,190.2,-0.01
0.3,15.898,0.000176252,190.4,-0.01
0.32,16.953,0.000182416,190.6,-0.01
0.34,18.015,0.000137937,190.8,-0.01
0.36,19.078,0.000132884,191,-0.01
0.38,20.132,0.000151286,191.2,-0.01
0.4,21.203,0.000194755,191.4,-0.01
0.42,22.265,0.000168413,191.6,-0.01
0.44,23.328,0.000209105,191.8,-0.01
0.46,24.394,0.00014226,192,-0.01
0.48,25.457,0.000174202,192.2,-0.01
0.5,26.527,0.000139515,192.4,-0.01
0.52,27.597,0.000178665,192.6,-0.01
0.54,28.668,0.000237434,192.7,-0.01
0.56,29.738,0.000149865,192.9,-0.01
0.58,30.816,0.000144412,193.1,-0.01
0.6,31.886,0.000176061,193.3,-0.01
0.62,32.964,0.000121325,193.5,-0.01
0.64,34.031,0.000217584,193.7,-0.01
0.66,35.109,0.000131891,193.9,0
0.68,36.187,0.000148923,194.1,0
0.7,37.265,8.08E-05,194.2,-0.01
0.72,38.351,0.000102978,194.4,-0.01
0.74,39.429,0.000170307,194.6,-0.01
0.76,40.515,0.000188756,194.8,-0.01
0.78,41.593,0.000160484,195,-0.01
0.8,42.679,0.000154702,195.2,-0.01
0.82,43.761,0.000152767,195.4,-0.01
0.84,44.847,0.000186566,195.5,-0.01
0.86,45.933,0.000103651,195.8,-0.01
0.88,47.027,0.000148155,195.9,-0.01
0.9,48.113,4.01E-05,196.1,-0.01
0.92,49.207,0.00016296,196.2,-0.01
0.94,50.293,8.66E-05,196.2,-0.01
0.96,51.386,0.000167273,196.1,-0.01
0.98,52.468,8.80E-05,196,0
1,53.554,0.000132721,196,0
1.02,54.648,2.60E-05,196.1,0
1.04,55.734,5.69E-05,196.4,0
1.06,56.828,9.42E-05,196.6,0
1.08,57.921,0.000055418,196.7,0
1.1,59.015,5.82E-05,196.9,0
1.12,60.109,0.000036803,197.1,0
1.14,61.211,3.51E-05,197.3,0
1.16,62.3,-1.06E-05,197.5,0
1.18,63.402,0.000101194,197.7,0.01
1.2,64.496,-6.09E-06,197.9,0.01
1.22,65.597,-4.05E-05,198.1,0.01
1.24,66.699,-0.000104675,198.3,0.01
1.26,67.8,-0.000145304,198.4,0.01
1.28,68.91,-9.71E-05,198.6,0.01
1.3,70.011,-0.000114552,198.8,0.01
1.32,71.113,-0.000130407,199,0.01
1.34,72.218,-0.000120935,199.2,0.01
1.36,73.328,-0.000159857,199.4,0.01
1.38,74.437,-0.000137209,199.6,0.01
1.4,75.546,-0.000150123,199.7,0.01
1.42,76.656,-0.000142279,199.9,0.01
1.44,77.765,-0.000135642,200.1,0
1.46,78.882,-0.000156358,200.3,0
1.48,79.992,-0.000133561,200.5,0
1.5,81.105,-0.000165641,200.7,0
1.52,82.222,-8.82E-05,200.9,0
1.54,83.339,-6.45E-05,201.1,0
1.56,84.457,-6.43E-05,201.2,0
1.58,85.574,-6.85E-05,201.4,0
1.6,86.699,-8.36E-05,201.6,0
1.62,87.816,-0.000102641,201.8,0.01
1.64,88.941,-0.000117605,202,0.01
1.66,90.058,-0.000101832,202.2,0.01
1.68,91.179,-0.000051236,202.3,0.01
1.7,92.304,-0.000092585,202.5,0.01
1.72,93.437,-8.12E-05,202.7,0.01
1.74,94.562,-9.38E-05,202.9,0.01
1.76,95.687,-9.56E-05,203.1,0.01
1.78,96.82,-0.000110377,203.2,0.01
1.8,97.945,-0.000093692,203.4,0.01
1.82,99.078,-8.39E-05,203.6,0.01
1.84,100.207,-8.19E-05,203.8,0.01
1.86,101.339,-9.59E-05,204,0.01
1.88,102.472,-0.000101767,204.2,0.01
1.9,103.613,-0.00008294,204.3,0
1.92,104.746,-8.06E-05,204.5,0
1.94,105.879,-5.69E-05,204.7,0
1.96,107.019,-5.68E-05,204.9,0
1.98,108.16,-8.92E-05,205,0
2,109.3,-7.47E-05,205.2,0
2.02,110.437,-6.70E-05,205.4,0
2.04,111.578,-3.72E-05,205.5,0
2.06,112.718,-0.000110702,205.8,0
2.08,113.867,-4.87E-06,205.9,0
2.1,115.007,-2.06E-05,206.1,0
2.12,116.156,-7.84E-06,206.3,0
2.14,117.304,2.35E-05,206.4,0
2.16,118.453,1.53E-05,206.6,0
2.18,119.597,1.34E-05,206.8,0
2.2,120.746,1.85E-05,207,0
2.22,121.894,0.000003703,207.1,0
2.24,123.05,-1.55E-05,207.3,0
2.26,124.199,5.90E-06,207.5,0
2.28,125.355,-5.67E-05,207.7,0
2.3,126.511,1.21E-05,207.8,0
2.32,127.668,-5.84E-05,208,0
2.34,128.82,-3.45E-05,208.1,0
2.36,129.976,-8.42E-06,208.3,0
2.38,131.132,-9.50E-06,208.5,0
2.4,132.289,0.000014236,208.6,0
2.42,133.453,3.35E-05,208.8,0
2.44,134.609,-6.55E-06,209,0
2.46,135.773,-1.34E-05,209.1,0
2.48,136.937,2.07E-05,209.3,0
2.5,138.097,-2.21E-05,209.5,0
2.52,139.261,-3.22E-05,209.6,0
2.54,140.425,-1.59E-05,209.8,0
2.56,141.597,-5.12E-05,210,0
2.58,142.761,-2.99E-05,210.1,0
2.6,143.933,-7.15E-05,210.3,0
2.62,145.097,0.000029774,210.4,0
2.64,146.269,5.95E-05,210.6,0
2.66,147.441,0.000032181,210.8,0
2.68,148.609,-1.71E-05,211,0
2.7,149.781,-0.00002389,211.1,0
2.72,150.953,-9.97E-06,211.2,0
